fecha,hora,cliente,tipo,monto
2025-06-06,17:43,Jose,ingreso,52185.28
2025-06-06,16:19,Laura,transferencia,83422.49
2025-06-06,9:32,Pablo,egreso,14758.25
2025-06-06,8:36,Pablo,transferencia,34003.6
2025-06-06,13:36,Jose,inversion,12003.92
2025-06-06,17:48,Pablo,inversion,12828.48
2025-06-06,8:41,Ana,transferencia,12349.33
2025-06-06,17:58,Ana,ingreso,89963.01
2025-06-06,12:13,Pablo,transferencia,77037.74
2025-06-06,11:19,Laura,inversion,30423.9
2025-06-06,9:52,Pablo,ingreso,63177.69
2025-06-06,11:58,Laura,ingreso,76474.63
2025-06-06,8:43,Juan,inversion,23905.38
2025-06-06,9:58,Pablo,transferencia,64802.06
2025-06-06,9:57,Ana,egreso,74756.85
2025-06-06,12:05,Juan,inversion,59708.28
2025-06-06,13:50,Laura,egreso,27894.02
2025-06-06,17:32,Ana,ingreso,49547.86
2025-06-06,9:44,Pablo,egreso,80672.03
2025-06-06,13:53,Juan,transferencia,58165.32
2025-06-06,17:11,Ana,egreso,24761.2
2025-06-06,15:03,Cecilia,ingreso,77184.98
2025-06-06,8:29,Jose,inversion,6553.53
2025-06-06,10:16,Juan,inversion,3234.77
2025-06-06,12:56,Pablo,inversion,15785.37
2025-06-06,18:10,Laura,transferencia,92317.62
2025-06-06,8:15,Juan,transferencia,6850.69
2025-06-06,18:07,Ana,ingreso,78130.13
2025-06-06,16:35,Jose,inversion,19521.37
2025-06-06,14:28,Ana,egreso,7897.67
2025-06-06,8:28,Pablo,egreso,32749.22
2025-06-06,13:57,Juan,inversion,62327.93
2025-06-06,10:34,Jose,inversion,47193.34
2025-06-06,16:27,Pablo,inversion,80564.32
2025-06-06,18:26,Pablo,transferencia,20282.0
2025-06-06,17:22,Laura,ingreso,93018.72
2025-06-06,9:29,Cecilia,transferencia,69423.0
2025-06-06,18:15,Juan,inversion,18087.06
2025-06-06,9:50,Juan,inversion,51043.32
2025-06-06,18:58,Laura,inversion,99948.9
2025-06-06,14:04,Laura,transferencia,16224.78
2025-06-06,14:44,Pablo,ingreso,30371.66
2025-06-06,11:05,Laura,ingreso,62414.22
2025-06-06,13:44,Cecilia,transferencia,34101.82
2025-06-06,9:47,Juan,egreso,62509.73
2025-06-06,17:38,Jose,inversion,41285.25
2025-06-06,12:05,Pablo,transferencia,46049.94
2025-06-06,16:52,Cecilia,ingreso,39580.65
2025-06-06,12:49,Laura,transferencia,82238.68
2025-06-06,13:43,Ana,inversion,83555.11
2025-06-06,12:59,Laura,inversion,45319.73
2025-06-06,15:35,Cecilia,inversion,7606.48
2025-06-06,15:38,Ana,transferencia,81581.79
2025-06-06,10:29,Juan,ingreso,40218.94
2025-06-06,10:30,Cecilia,egreso,94646.15
2025-06-06,10:56,Laura,egreso,34654.97
2025-06-06,12:05,Juan,transferencia,22453.54
2025-06-06,17:28,Laura,egreso,42112.52
2025-06-06,9:24,Pablo,egreso,89863.53
2025-06-06,13:49,Ana,inversion,86697.72
2025-06-06,13:54,Laura,transferencia,10676.75
2025-06-06,13:24,Juan,egreso,18929.53
2025-06-06,13:32,Pablo,inversion,34977.59
2025-06-06,18:49,Laura,egreso,91161.05
2025-06-06,17:51,Laura,transferencia,56286.54
2025-06-06,18:22,Laura,egreso,53301.91
2025-06-06,17:28,Cecilia,transferencia,57618.05
2025-06-06,11:50,Ana,inversion,84326.74
2025-06-06,8:09,Jose,ingreso,17294.45
2025-06-06,16:02,Laura,ingreso,11005.44
2025-06-06,10:47,Juan,transferencia,34840.5
2025-06-06,16:28,Juan,transferencia,7977.82
2025-06-06,18:07,Pablo,egreso,71196.54
2025-06-06,16:33,Juan,ingreso,34298.87
2025-06-06,13:31,Jose,ingreso,4049.47
2025-06-06,13:02,Jose,inversion,43115.49
2025-06-06,9:28,Cecilia,transferencia,98719.7
2025-06-06,17:49,Cecilia,inversion,72581.15
2025-06-06,12:57,Jose,transferencia,44096.15
2025-06-06,16:40,Laura,egreso,80608.84
2025-06-06,18:41,Jose,inversion,62115.36
2025-06-06,12:12,Juan,transferencia,9643.65
2025-06-06,9:38,Jose,inversion,47607.8
2025-06-06,13:49,Ana,transferencia,45828.05
2025-06-06,18:38,Cecilia,egreso,85557.96
2025-06-06,12:26,Juan,inversion,76436.04
2025-06-06,15:12,Ana,inversion,1751.86
2025-06-06,16:17,Laura,egreso,27233.67
2025-06-06,10:04,Juan,egreso,16159.09
2025-06-06,18:24,Laura,ingreso,46753.27
2025-06-06,18:19,Ana,ingreso,79697.75
2025-06-06,10:58,Laura,ingreso,68230.8
2025-06-06,10:00,Laura,inversion,24386.42
2025-06-06,13:33,Laura,inversion,54662.28
2025-06-06,15:49,Pablo,ingreso,23269.74
2025-06-06,9:54,Cecilia,egreso,13049.83
2025-06-06,16:27,Laura,inversion,76756.55
2025-06-06,9:11,Ana,ingreso,50274.43
2025-06-06,17:31,Jose,ingreso,93560.2
2025-06-06,14:59,Jose,transferencia,82505.05
